filename,human_correction,dialect
Sylheti_6Ycv4OO9kwo_seg0000.wav,"একটা অবস্থা করছো, এই যে চাকচিক্য অবস্থা, আমার পরিবেশের  সাথে তোমার  চলাফেরা, আচার-ব্যবহার মানানসই? তুমি তো আসার পর থেকেই দেখছো, আমি কিভাবে জীবন যাপন করি?
 আমি লেখাপড়া করেছি ঠিক আছে, কিন্তু নীতি নৈতিকতার জন্য আমি কখনো আমার আত্বীয়-স্বজনের কাছে  হাত পাতি না, ভালো একটা কাজ করতে পারি না, আমি আমার কোনোরকম খেয়ে-পড়ে জীবন যাপন করে যেতে চাই, ভালো কোন কাজ ও শুরু করতে পারি নি।",sylheti
Sylheti_6Ycv4OO9kwo_seg0001.wav,"এই যে একটা অবস্থা, মানুষ'ই বা দেখলে কি বলবে? আমার ঘরের সাথে এই পরিবেশ মানানসই? 
তোমার সাথে তো কোন পরিবেশ'ই মানাবে না? ঘটক কি বলেছিল? ",sylheti
Sylheti_6Ycv4OO9kwo_seg0002.wav,"আর এখন এসে কি দেখছি?
ঘটক তোকে কি বলেছিলো,আর তুই এসে কি দেখছিস?
ঘটক যা বলেছিলো সেটা কি আবার তোমাকে নতুন করে বলতে হবে?
ঘটক সুন্দর করে, আমাকে আর আমার পরিবারকে বলেছে যে, ছেলে শিক্ষিত,শিষ্টাচার, নম্র,ভদ্র এই সেই। মানে সম্পূর্ণ যে মিথ্যা কথা বলেছিলো তা এখন আমি বুঝতে পারছি। আর কি বলেছিলো; ছেলে তো শিক্ষিত, যেকোনো জায়গায় সি ভি দিলে চাকরি  পেয়ে যাবে,ছেলে লন্ডন গিয়ে সেটেল্ড হয়ে যাবে, এখানে গিয়ে সেটেল্ড হবে, ওখানে গিয়ে হবে। কতো বানিয়ে বানিয়ে মিথ্যে কথা বলেছে। আর এখন এসে দেখছি কি? সব কথা যে মিথ্যে ছিলো এখন ভালোভাবে বুঝতে পারছি।",sylheti
Sylheti_6Ycv4OO9kwo_seg0003.wav,"আমার মা-বাবার জন্যই শুধু বিয়েটা করতে রাজি হয়েছি।
মুখ বন্ধ কর , বন্ধ কর। ঘটক যা বলেছে সবই সত্যি। আমি বি.এ. পাস করেছি, যেকোনো জায়গায় সিভি দিলেই আমার চাকরি হয়ে যেতো। আমি কেন চাকরিতে জয়েন করিনি? আমার এমন এমন জায়গা থেকে ও অফার এসেছে যে, আমি জয়েন করার পর থেকেই দেড় লাখ, এক লাখ সত্তর/আশি হাজার টাকার মতো বেতন। ",sylheti
Sylheti_6Ycv4OO9kwo_seg0004.wav,"কিন্তু এই যে শুরুতে ঘোষ দিয়ে চাকরি নিতে হবে, এজন্য আমি এসব চাকরি করিনি। 
আমার যে আত্মীয় স্বজন, তারা আমার নীতি নৈতিকতার বাইরে, সেজন্য আমি তাদের ধারে কাছে যাই না।",sylheti
Sylheti_6Ycv4OO9kwo_seg0005.wav,"বুঝেছিস?
তুমি তোমার নীতি নৈতিকতা নিয়ে পড়ে থাকো।তোমার নীতি তো এখন আমার পেট ভরাচ্ছে? নুন আনতে পান্তা ফুরোয়। না ঠিক মতো খাওয়াতে পরাতে পারছো, তুমি তো এই এক লুঙ্গি, এক শার্ট পড়ে বেরিয়ে যাও আর সন্ধ্যায় এসে ঘরে ঢুকো।
এই থাম থাম, তোকে কোন দিন আমি না খাইয়ে উপোস রেখেছি?
হ্যাঁ, তোর চাহিদা মেটাতে পারছিনা। তোর চাহিদা আমি কেন?
",sylheti
Sylheti_6Ycv4OO9kwo_seg0006.wav,"তোর চাহিদা পৃথিবীতে যে বড় বড় ধনীরা  আছে, তাদের মধ্যে একজন বিল গেটস, সে ও পারবে না তোর চাহিদা মেটাতে।
তোর সকালে ঘুম থেকে ওঠে এক চাহিদা,",sylheti
Sylheti_6Ycv4OO9kwo_seg0007.wav,"বিকালে আরেক চাহিদা, রাতে আরেক চাহিদা। এসব চাহিদা আমি কেন,পৃথিবীর কেউ মেটাতে পারবে না।
তো, তোমার তো আনা উচিৎ ছিলো এক ফকিন্নির মেয়ে, তাহলে কোন চাহিদা ই  তোমার কাছে দেখাতো না।
আমার মা-বাবার কি আছে, কি নেই, আমার চলা-ফেরা সবই তো তুমি দেখেছো। দেখেও কেন চাহিদা মেটাতে পারবে না। চাহিদা যেহেতু মেটাতে পারবে না, তোমার একজন ফকিন্নি মেয়ে আনা উচিৎ ছিলো।
এই ভুলটাই তো আমি করেছি, আমি তখন যদি ঘটককে বলে দিতাম আমার জন্য একজন ফকিরের মেয়ে দেখতে যেন আমি ঘরে শান্তিতে থাকতে পারি, তাহলে ঠিক হতো। আমি নিয়ে এসেছি আকাশের চাঁদ, এখন আমার যে অবস্থা-পরিবেশ আছে, এই পরিবেশ নিয়ে তোমাকে চলতে হবে, খেতে হবে।
পারবো না, আমি যেভাবে চলি, আমাকে সেভাবেই চালাতে হবে।",sylheti
Sylheti_6Ycv4OO9kwo_seg0008.wav,"ছি ছি ছি! কোথায় কোন জায়গায়? না ঘরে শান্তি, না বাইরে বন্ধু-বান্ধব এর কাছে শান্তি, কোথাও আমার শান্তু নেই।
হুমমম! চালাতে পারছে না আবার লম্বা লম্বা কথা। কথায় আছে না, "" যার ভাগ নেই তার ফুটানি আছে""। ওনার ফুটানি আছে, ওনার পড়ালেখা আছে। পড়ালেখা ধুয়ে পানি খাবে, সার্টিফিকেট ধুয়ে ধুয়ে পানি খাও। ঢং নেই ঢং!",sylheti
Sylheti_6Ycv4OO9kwo_seg0009.wav," ""আমার গলার মালা, আমি তোমায় নিয়ে ডুব দেব, মিটবে মনের জালা।""
ও তেজইসলাম ভাই, আমাকে কিছু টাকা দিন না। আমি একা মানুষ,অসুখ-বিসুখে অনেক জ্বালাচ্ছে।
আমি কোথায় থেকে টানি দিবো ভাই, আমি নিজেই চলতে পারছি না।
হায় হায় হায়! এ কি! হ্যাঁ? ",sylheti
Sylheti_6Ycv4OO9kwo_seg0010.wav,"বিষয় কি? মাথা, মগজ, মুন্ডু সব খেয়ে নিয়েছিস নাকি, তুই কার কাছে টাকা খুজছিস? কামার এর দোকানে কি স্বর্ণ পাওয়া যায়? হ্যাঁ? 
কি করবো ভাই? অভাবে মাথা মগজ কিছুই ঠিক নেই, কার কাছে কখন হা পাতি বলতে পারি না।
হ্যাঁ হ্যাঁ, বুঝতে পেরেছি, অভাবে তোর মস্তিষ্ক বিগড়ে গেছে, কথায় আছে না,"" অভাবে গুননাসীন",sylheti
Sylheti_6Ycv4OO9kwo_seg0011.wav,"এরজন্য তুই কি বে-জায়গায় হাত পাতবি? হ্যাঁ? যেকোনো জায়গায় হাত পাতা যাবে না। ওই যে একটা গানের কলিতে আছে না, ""আমি না জেনে উলু বনে মক্তা ছড়ালাম, জীবনে কি ভুল করিলাম।"" তুই ও এইভাবে পস্তাতে হবে। যেখানে সেখানে টাকা খুজে। 
যাই হোক, তোর সমস্যা কি? টাকা দরকার কেন?
ভাই,",sylheti
