filename,dialect,duration,machine_transcript,human_correction
Chittagonian_JvwgOr-K0vQ_seg0000.wav,Chittagonian,18.612,,
Chittagonian_JvwgOr-K0vQ_seg0001.wav,Chittagonian,19.088,"নেশিরক্লেন কেনা আদেনা যাকাডি আকাডি পেনি আফারাখাযে ফেমাইছের কালা ইপেনি কেডি. अपी में ये पोई। नाना ये ना साना ये तिरी बॉली देवो गई। भी अपके दिया प्छरी तो बिश्छार गाडरा लिए भी बुजीबी ओ तो इकि। आइ तू अंडरेट पर्छन, राईट कथा खोई। আরাইজুদুযাজুযুযা পাসিুযা সিযা উপিষিডার উযি? পাব আফিষআ উযি তুা?",
Chittagonian_JvwgOr-K0vQ_seg0002.wav,Chittagonian,5.82,तोईले तार फ्रेमी के भुईश्दो तारे अभुयला गरी की भुल्काज होई,
Chittagonian_JvwgOr-K0vQ_seg0003.wav,Chittagonian,19.924,तुआर भुद्धि। तुआर मतल वचस्तर भुद्धि तोरी। अर भाई दिन नाय रात नाय। खाली भईर मोझे देखते ओ। अर वे मैं यह बिला दोर स्वर्ट देखते हू। और सिथा घाते हूँ। वे मैं यह लोगाई।,
Chittagonian_JvwgOr-K0vQ_seg0004.wav,Chittagonian,18.536,"फारा फूती भेशिरे जाना, इते रातो चाने जाइबु गोई, तुम या तर भाई फ़ल, इन्ते हाई गळ सन्मानी मानोड, आरे इज्चात्तां कटे ताइबु। अर्भाई फ़ल, आरा फ़ल ना, पालो ले दे तो ही, तर भाई फ़ल, तर भोई फ़ल, तर सुट्ते भुष्ती फ़ल, तर फारा फूती भेशिरे जाना, इते रातो चाने जाइबु गळस्तां कटे जाइबु।",
Chittagonian_JvwgOr-K0vQ_seg0005.wav,Chittagonian,19.528,,
Chittagonian_JvwgOr-K0vQ_seg0006.wav,Chittagonian,18.2,,
Chittagonian_JvwgOr-K0vQ_seg0007.wav,Chittagonian,17.756,আথারনা একাভারি শিটি আভাই আসা দুলাভাঈ ছানাডি আই ফাজুনুন তুত মভাঈলিলমিদি তায গারিধু ইভাঈ মভাঈ গাভাঈ,
Chittagonian_JvwgOr-K0vQ_seg0008.wav,Chittagonian,19.944,됐chlag यिवालित clarify पिर Fans,
Chittagonian_JvwgOr-K0vQ_seg0009.wav,Chittagonian,19.12,আই ফাল আরা ফাল হিযায হনল লাবনি আই না আনারা দे জানা রা সিটানা আই ফাশিছ ছিলা ইক্য আনা ওনা ওযানা আই সিছ পানা ইক্য এনা আমা ওযান�,
Chittagonian_JvwgOr-K0vQ_seg0010.wav,Chittagonian,18.148,"घुद्नानदसजे पढिइडदाई convinced, made the kräम सा Said the गदनेmented spaces कु Tages НАЯन न्जCommentary",
Chittagonian_JvwgOr-K0vQ_seg0011.wav,Chittagonian,19.904,আমা কিনরত্ আনেলারা সাইকিকিলন আনেলা লাশ হাডিরাযাকো আনেলান হান আমা ইফা তার কিললা ইমনেলি দি শাণার কিন আরা তাল লাশ গমিডি রাধ কি? গাতাহাল রাতি এআশানার ওরা ফান গাচিলা ইভায হিদি আনেলা দি জন মিলি ইভায খামগিতা সাআ?,
Chittagonian_JvwgOr-K0vQ_seg0012.wav,Chittagonian,15.556,अपने पार्पर्तिन बार्ण बार्ण तूइ। आप बार्ण गरीये रहना लाग नहीं। चान्यो लाश आणारा हड़े लूकारे कुछुछ। क्या? हड़े! बाच्छुमो पेंटर नाइ? नाइ कि दि फान्डि टान्किट? हाड़े आउड़ारी बेतर नाइ? आशाद अहाँ! कि होलिदी सतान नाइ नी? आइ आप सान रो गुंग गरीये रहे फान्डि टान्किट राशाः कि दि? भारे यो भी निया?,
Chittagonian_JvwgOr-K0vQ_seg0013.wav,Chittagonian,18.908,नालि किट बड़रनी ते खाड़ी-खाडी तुरा गड़ी। तो लाश तुरा किन्ते तुज्जम में ते बशा दियें तो होई दिल्याम। हेई! अमाको मानी कि? तो ज्जिकिल ले? रणागीस्का खाला पड़रनी आनीस्का! आणाराई! आणाराई! शायो यूम धालिए! शायो युम धालिए! तुरी शायो यूम देखी! रणागा नार्माई येरा तुवानियों भाई! अमिला बड़र! अणाराई! हाता कुन्दुरी तो लोहा रही रूई!,
